file,mtime,seed,n,n_null,fs_ds,nperseg,band_min,band_max,mode,null_mode,stat,band_fraction,p_value_flip,p_value_phase,p_value_final,decision_alpha_0.05
"result\v2025-09-10_hard\t2\20250910-120318.json","2025-09-10T14:03:18",48,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999803601132281,0.006578947368421052,1.0,0.0186,1.0,False
"result\v2025-09-10_hard\t2\20250910-120348.json","2025-09-10T14:03:48",49,16384,10000,20.22716049382716,303,0.75,0.85,"trimmean","all",0.9999668150059458,0.006578947368421052,1.0,0.0254,1.0,False
"result\v2025-09-10_hard\t2\20250910-120439.json","2025-09-10T14:04:39",0,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9720215325278717,0.03875968992248062,1.0,0.1575,1.0,False
"result\v2025-09-10_hard\t2\20250910-120505.json","2025-09-10T14:05:05",1,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9469681245644066,0.03875968992248062,1.0,0.4109,1.0,False
"result\v2025-09-10_hard\t2\20250910-120531.json","2025-09-10T14:05:31",2,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9676719489442114,0.03875968992248062,1.0,0.1701,1.0,False
"result\v2025-09-10_hard\t2\20250910-120557.json","2025-09-10T14:05:57",3,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9786568310455941,0.03875968992248062,1.0,0.0378,1.0,False
"result\v2025-09-10_hard\t2\20250910-120622.json","2025-09-10T14:06:22",4,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9535326257803727,0.03875968992248062,1.0,0.3499,1.0,False
"result\v2025-09-10_hard\t2\20250910-120648.json","2025-09-10T14:06:48",5,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9771083553059731,0.03875968992248062,1.0,0.1052,1.0,False
"result\v2025-09-10_hard\t2\20250910-120714.json","2025-09-10T14:07:14",6,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9454951880791054,0.03875968992248062,1.0,0.6453,1.0,False
"result\v2025-09-10_hard\t2\20250910-120740.json","2025-09-10T14:07:40",7,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9853693534431273,0.03875968992248062,1.0,0.0137,1.0,False
"result\v2025-09-10_hard\t2\20250910-120806.json","2025-09-10T14:08:06",8,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.974521172933699,0.03875968992248062,1.0,0.075,1.0,False
"result\v2025-09-10_hard\t2\20250910-120832.json","2025-09-10T14:08:32",9,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9833283894543123,0.03875968992248062,1.0,0.0106,1.0,False
"result\v2025-09-10_hard\t2\20250910-120859.json","2025-09-10T14:08:59",10,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9642289018896241,0.03875968992248062,1.0,0.0605,1.0,False
"result\v2025-09-10_hard\t2\20250910-120925.json","2025-09-10T14:09:25",11,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9869655018299239,0.03875968992248062,1.0,0.0073,1.0,False
"result\v2025-09-10_hard\t2\20250910-120951.json","2025-09-10T14:09:51",12,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.966357577133904,0.03875968992248062,1.0,0.1847,1.0,False
"result\v2025-09-10_hard\t2\20250910-121017.json","2025-09-10T14:10:17",13,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9886414390407646,0.03875968992248062,1.0,0.0081,1.0,False
"result\v2025-09-10_hard\t2\20250910-121043.json","2025-09-10T14:10:43",14,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9398019938817752,0.03875968992248062,1.0,0.5538,1.0,False
"result\v2025-09-10_hard\t2\20250910-121108.json","2025-09-10T14:11:08",15,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9602023524857246,0.03875968992248062,1.0,0.3787,1.0,False
"result\v2025-09-10_hard\t2\20250910-121134.json","2025-09-10T14:11:34",16,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9128439316232326,0.03875968992248062,1.0,0.6094,1.0,False
"result\v2025-09-10_hard\t2\20250910-121201.json","2025-09-10T14:12:01",17,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9411205587604172,0.03875968992248062,1.0,0.8238,1.0,False
"result\v2025-09-10_hard\t2\20250910-121227.json","2025-09-10T14:12:27",18,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.962908716147002,0.03875968992248062,1.0,0.2417,1.0,False
"result\v2025-09-10_hard\t2\20250910-121253.json","2025-09-10T14:12:53",19,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9871952001423949,0.03875968992248062,1.0,0.0183,1.0,False
"result\v2025-09-10_hard\t2\20250910-121321.json","2025-09-10T14:13:21",20,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9745196100706435,0.03875968992248062,1.0,0.2235,1.0,False
"result\v2025-09-10_hard\t2\20250910-121349.json","2025-09-10T14:13:49",21,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9590090611854414,0.03875968992248062,1.0,0.5232,1.0,False
"result\v2025-09-10_hard\t2\20250910-121417.json","2025-09-10T14:14:17",22,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9854191253691008,0.03875968992248062,1.0,0.0043,1.0,False
"result\v2025-09-10_hard\t2\20250910-121444.json","2025-09-10T14:14:44",23,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.954667439371898,0.03875968992248062,1.0,0.2274,1.0,False
"result\v2025-09-10_hard\t2\20250910-121511.json","2025-09-10T14:15:11",24,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9757432161206072,0.03875968992248062,1.0,0.0745,1.0,False
"result\v2025-09-10_hard\t2\20250910-121537.json","2025-09-10T14:15:37",25,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9658432251076443,0.03875968992248062,1.0,0.2126,1.0,False
"result\v2025-09-10_hard\t2\20250910-121603.json","2025-09-10T14:16:03",26,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9621464478005958,0.03875968992248062,1.0,0.2065,1.0,False
"result\v2025-09-10_hard\t2\20250910-121629.json","2025-09-10T14:16:29",27,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9916394225121469,0.03875968992248062,1.0,0.0014,1.0,False
"result\v2025-09-10_hard\t2\20250910-121655.json","2025-09-10T14:16:55",28,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9611425869221835,0.03875968992248062,1.0,0.2126,1.0,False
"result\v2025-09-10_hard\t2\20250910-121721.json","2025-09-10T14:17:21",29,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9760204607718872,0.03875968992248062,1.0,0.1042,1.0,False
"result\v2025-09-10_hard\t2\20250910-121747.json","2025-09-10T14:17:47",30,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9485384119489462,0.03875968992248062,1.0,0.1619,1.0,False
"result\v2025-09-10_hard\t2\20250910-121813.json","2025-09-10T14:18:13",31,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9700952498488068,0.03875968992248062,1.0,0.4426,1.0,False
"result\v2025-09-10_hard\t2\20250910-121839.json","2025-09-10T14:18:39",32,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9577181329018298,0.03875968992248062,1.0,0.2173,1.0,False
"result\v2025-09-10_hard\t2\20250910-121905.json","2025-09-10T14:19:05",33,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9782631967878996,0.03875968992248062,1.0,0.2058,1.0,False
"result\v2025-09-10_hard\t2\20250910-121931.json","2025-09-10T14:19:31",34,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9330738569291395,0.03875968992248062,1.0,0.6271,1.0,False
"result\v2025-09-10_hard\t2\20250910-121957.json","2025-09-10T14:19:57",35,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9779186012475183,0.03875968992248062,1.0,0.2075,1.0,False
"result\v2025-09-10_hard\t2\20250910-122023.json","2025-09-10T14:20:23",36,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9613351277463099,0.03875968992248062,1.0,0.2398,1.0,False
"result\v2025-09-10_hard\t2\20250910-122049.json","2025-09-10T14:20:49",37,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.909955021942328,0.03875968992248062,1.0,0.5051,1.0,False
"result\v2025-09-10_hard\t2\20250910-122115.json","2025-09-10T14:21:15",38,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.904244333892484,0.03875968992248062,1.0,0.8586,1.0,False
"result\v2025-09-10_hard\t2\20250910-122141.json","2025-09-10T14:21:41",39,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9512157435915217,0.03875968992248062,1.0,0.3594,1.0,False
"result\v2025-09-10_hard\t2\20250910-122207.json","2025-09-10T14:22:07",40,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9629483829888033,0.03875968992248062,1.0,0.1301,1.0,False
"result\v2025-09-10_hard\t2\20250910-122233.json","2025-09-10T14:22:33",41,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9709060032429381,0.03875968992248062,1.0,0.061,1.0,False
"result\v2025-09-10_hard\t2\20250910-122259.json","2025-09-10T14:22:59",42,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.971298218574764,0.03875968992248062,1.0,0.0333,1.0,False
"result\v2025-09-10_hard\t2\20250910-122325.json","2025-09-10T14:23:25",43,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9438213849535376,0.03875968992248062,1.0,0.4892,1.0,False
"result\v2025-09-10_hard\t2\20250910-122351.json","2025-09-10T14:23:51",44,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9481621951178978,0.03875968992248062,1.0,0.4272,1.0,False
"result\v2025-09-10_hard\t2\20250910-122417.json","2025-09-10T14:24:17",45,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.8964554580789587,0.03875968992248062,1.0,0.855,1.0,False
"result\v2025-09-10_hard\t2\20250910-122445.json","2025-09-10T14:24:45",46,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9612347450520321,0.03875968992248062,1.0,0.2581,1.0,False
"result\v2025-09-10_hard\t2\20250910-122511.json","2025-09-10T14:25:11",47,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9575775109864487,0.03875968992248062,1.0,0.313,1.0,False
"result\v2025-09-10_hard\t2\20250910-122537.json","2025-09-10T14:25:37",48,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9367265044788191,0.03875968992248062,1.0,0.7767,1.0,False
"result\v2025-09-10_hard\t2\20250910-122603.json","2025-09-10T14:26:03",49,16384,10000,20.22716049382716,256,0.6,1.0,"trimmean","all",0.9679104463285968,0.03875968992248062,1.0,0.1585,1.0,False
